,S No,AGE,HEIGHT,WEIGHT,SEX,ACTIVITY LEVEL,PAIN 1,PAIN 2,PAIN 3,PAIN 4,MBTI,E,I,S,N,T,F,J,P,POSTURE
53,54,19,68,113,Female,Low,0.0,4.0,6.0,2.0,INFJ,-0.4727891209922674,0.3487556955170447,0.0,-0.7647096737863871,0.0,0.0,0.27592106310796005,-0.39119625818947174,D
54,55,47,63,128,Female,Low,7.5,4.0,3.0,7.5,ESFJ,0.6045853465832371,-0.7478585947633022,-0.13971029888186212,-0.5894557978497783,-0.2104283942479247,0.21042839424792484,0.27592106310796005,-0.39119625818947174,B
55,56,62,61,150,Female,Low,2.0,2.0,2.0,2.0,ESTJ,0.7478585947633022,-0.9084578685373851,0.13971029888186212,-0.967421566101701,-0.43072729929545756,0.43072729929545744,0.5119362138713294,-0.6406668899191049,B
56,57,29,68,145,Female,Moderate,0.0,9.0,2.0,0.0,ESFP,1.0968035620935135,-1.335177736118937,-0.13971029888186212,-0.5894557978497783,-0.967421566101701,0.967421566101701,-0.6406668899191049,0.5119362138713294,B
57,58,20,70,250,Male,Low,4.0,8.0,2.0,5.0,ESFP,0.7478585947633022,-0.9084578685373851,-0.28221614706250814,-0.43072729929545756,-0.5485222826980979,0.5485222826980981,-0.9388143168769032,0.7810338115227088,B
58,59,43,62,160,Female,Low,0.0,5.0,0.0,0.0,ISFJ,-0.22988411757923205,0.11418529432142824,0.28221614706250825,-1.22064034884735,-0.8122178014999129,0.8122178014999129,0.7810338115227088,-0.9388143168769032,C
59,60,43,64,183,Male,Low,0.0,3.0,4.0,0.0,ISTP,-0.9084578685373851,0.7478585947633022,-0.2104283942479247,-0.5084880591093566,0.31863936396437514,-0.31863936396437514,-0.2759210631079599,0.16421077707933085,B
60,61,42,63,166,Female,Low,0.0,0.0,0.0,8.0,ESFJ,1.6906216295848986,-2.3263478740408408,0.13971029888186212,-0.967421566101701,-1.1503493803760079,1.1503493803760079,0.5119362138713294,-0.6406668899191049,B
61,62,25,67,160,Male,Low,5.0,0.0,8.0,0.0,ESTP,0.6045853465832371,-0.7478585947633022,0.06968492031845568,-0.8616341201741723,0.8122178014999129,-0.8122178014999129,-0.5119362138713294,0.39119625818947174,A
62,63,21,62,118,Female,Low,7.5,2.5,6.5,0.0,ESFP,0.0,-0.11418529432142838,0.06968492031845568,-0.8616341201741723,-0.2104283942479247,0.21042839424792484,-0.7810338115227088,0.6406668899191048,B
63,64,28,62,200,Male,Low,0.0,8.0,0.0,5.0,ENTP,0.9084578685373853,-1.0968035620935135,-0.5084880591093566,-0.2104283942479247,0.967421566101701,-0.967421566101701,-0.2759210631079599,0.16421077707933085,C
64,65,42,70,170,Male,Low,0.0,4.0,0.0,0.0,ESFP,0.9084578685373853,-1.0968035620935135,-0.06968492031845568,-0.6744897501960817,-0.8122178014999129,0.8122178014999129,-0.6406668899191049,0.5119362138713294,A
65,66,18,62,110,Female,Low,4.0,5.0,0.0,0.0,ISTJ,-0.9084578685373851,0.7478585947633022,0.28221614706250825,-1.22064034884735,0.10463345561407526,-0.1046334556140754,1.1243382315686385,-1.3597373839386062,B
66,67,24,73,155,Male,High,2.0,3.0,0.0,0.0,INTJ,-0.7478585947633022,0.6045853465832371,-0.6744897501960817,-0.06968492031845568,0.21042839424792484,-0.2104283942479247,0.6406668899191048,-0.7810338115227088,C
67,68,39,70,200,Male,Moderate,0.0,3.0,0.0,0.0,ENTP,0.9084578685373853,-1.0968035620935135,-1.0853249080767589,0.21042839424792484,0.6744897501960817,-0.6744897501960817,-0.5119362138713294,0.39119625818947174,B
68,69,60,68,222,Male,Low,0.5,0.5,0.5,2.5,ISTP,-0.4727891209922674,0.3487556955170447,0.06968492031845568,-0.8616341201741723,0.31863936396437514,-0.31863936396437514,-1.1243382315686392,0.9388143168769032,C
69,70,37,60,105,Female,Low,2.0,8.0,2.0,6.0,INFP,-0.22988411757923205,0.11418529432142824,-0.6744897501960817,-0.06968492031845568,-0.967421566101701,0.967421566101701,-1.3597373839386062,1.1243382315686385,D
70,71,30,67,135,Female,Low,5.0,5.0,0.0,1.0,ESFP,1.0968035620935135,-1.335177736118937,0.21042839424792484,-1.0853249080767589,0.0,0.0,-0.39119625818947174,0.27592106310796005,A
71,72,45,67,148,Male,Low,2.0,3.0,0.0,5.0,ISFJ,-0.7478585947633022,0.6045853465832371,0.0,-0.7647096737863871,0.0,0.0,0.6406668899191048,-0.7810338115227088,C
72,73,45,65,160,Female,Low,2.0,3.0,0.0,0.0,ENTJ,0.6045853465832371,-0.7478585947633022,-0.35549041783953095,-0.35549041783953095,0.21042839424792484,-0.2104283942479247,0.16421077707933085,-0.2759210631079599,B
73,74,53,73,170,Male,Low,0.0,0.0,0.0,0.0,ESFJ,0.6045853465832371,-0.7478585947633022,-0.28221614706250814,-0.43072729929545756,0.0,0.0,0.6406668899191048,-0.7810338115227088,C
74,75,49,71,230,Male,Moderate,0.0,4.0,0.0,4.0,ESTJ,0.4727891209922672,-0.6045853465832371,-0.2104283942479247,-0.5084880591093566,0.6744897501960817,-0.6744897501960817,0.6406668899191048,-0.7810338115227088,B
75,76,45,67,160,Female,Low,2.0,0.0,2.0,0.0,ISFJ,-1.0968035620935135,0.9084578685373853,-0.06968492031845568,-0.6744897501960817,0.0,0.0,0.7810338115227088,-0.9388143168769032,A
76,77,55,74,240,Male,Low,0.0,7.0,0.0,4.0,ESTP,0.6045853465832371,-0.7478585947633022,-0.28221614706250814,-0.43072729929545756,0.5485222826980981,-0.5485222826980979,-0.05451891484810106,-0.05451891484810106,C
77,78,45,64,118,Female,Moderate,0.0,4.0,0.0,4.0,ISFP,-0.7478585947633022,0.6045853465832371,0.0,-0.7647096737863871,-0.1046334556140754,0.10463345561407526,-0.6406668899191049,0.5119362138713294,D
78,79,75,63,143,Female,Low,4.0,6.0,4.0,6.0,ESTJ,0.11418529432142824,-0.22988411757923205,-0.06968492031845568,-0.6744897501960817,0.10463345561407526,-0.1046334556140754,0.5119362138713294,-0.6406668899191049,B
79,80,44,66,200,Female,Low,2.0,3.0,2.0,0.0,ENFP,0.9084578685373853,-1.0968035620935135,-0.6744897501960817,-0.06968492031845568,-0.8122178014999129,0.8122178014999129,-0.05451891484810106,-0.05451891484810106,B
80,81,48,71,145,Male,Low,0.0,7.0,4.0,0.0,INFP,-1.0968035620935135,0.9084578685373853,-0.5084880591093566,-0.2104283942479247,-0.6744897501960817,0.6744897501960817,-0.9388143168769032,0.7810338115227088,C
81,82,49,64,155,Female,Low,4.0,7.0,3.0,5.0,ESFP,0.11418529432142824,-0.22988411757923205,-0.13971029888186212,-0.5894557978497783,-0.967421566101701,0.8122178014999129,-0.2759210631079599,0.16421077707933085,C
82,83,16,58,81,Female,Low,0.0,0.0,2.0,0.0,INFP,-0.3487556955170447,0.2298841175792322,-0.35549041783953095,-0.35549041783953095,-0.1046334556140754,0.10463345561407526,-0.7810338115227088,0.6406668899191048,D
83,84,39,60,88,Female,Low,3.0,1.0,0.0,0.0,ESFP,0.2298841175792322,-0.3487556955170447,-0.43072729929545756,-0.28221614706250814,-0.5485222826980979,0.43072729929545744,-0.7810338115227088,0.6406668899191048,B
84,85,19,68,125,Female,Low,0.0,3.0,0.0,0.0,ENTJ,0.9084578685373853,-1.0968035620935135,-0.6744897501960817,-0.06968492031845568,-0.6744897501960817,0.6744897501960817,0.05451891484810106,-0.164210777079331,D
85,86,11,60,68,Male,High,5.0,3.0,1.0,0.0,ENFP,1.3351777361189363,-1.6906216295848977,-0.8616341201741723,0.06968492031845568,-1.1503493803760079,1.1503493803760079,-2.3263478740408408,1.7116753065097288,A
86,87,55,65,198,Male,Low,4.0,2.5,3.0,8.0,ENTP,1.3351777361189363,-1.6906216295848977,-0.43072729929545756,-0.28221614706250814,0.6744897501960817,-0.6744897501960817,-1.3597373839386062,1.1243382315686385,A
87,88,28,67,180,Female,Low,0.0,0.0,0.0,0.0,ESFJ,0.0,-0.11418529432142838,0.28221614706250825,-0.28221614706250814,-0.43072729929545756,0.43072729929545744,0.27592106310796005,-0.39119625818947174,B
88,89,22,65,193,Female,Low,5.0,7.0,7.0,0.0,ESFJ,0.7478585947633022,-0.9084578685373851,-0.28221614706250814,-0.43072729929545756,-0.5485222826980979,0.5485222826980981,0.39119625818947174,-0.5119362138713294,B
89,90,56,67,150,Female,Low,0.0,7.0,0.0,0.0,ISFP,-0.22988411757923205,0.11418529432142824,-0.2104283942479247,-0.5084880591093566,-0.967421566101701,0.967421566101701,-0.7810338115227088,0.6406668899191048,C
90,91,29,65,125,Female,Moderate,2.0,0.0,0.0,4.0,ENFP,1.0968035620935135,-1.335177736118937,-0.35549041783953095,-0.35549041783953095,0.0,0.0,-0.164210777079331,0.05451891484810106,A
91,92,16,69,130,Female,Moderate,5.0,0.0,5.0,7.0,ENFJ,1.0968035620935135,-1.335177736118937,-0.6744897501960817,-0.06968492031845568,-1.382994127100638,1.382994127100638,0.05451891484810106,-0.164210777079331,B
92,93,16,58,100,Male,Moderate,0.0,0.0,0.0,3.0,ESTP,1.0968035620935135,-1.335177736118937,0.28221614706250825,-1.22064034884735,0.8122178014999129,-0.8122178014999129,-1.3597373839386062,1.1243382315686385,B
93,94,45,62,134,Female,Moderate,0.0,4.0,0.0,0.0,ESFJ,0.0,-0.11418529432142838,-0.06968492031845568,-0.6744897501960817,-0.6744897501960817,0.6744897501960817,0.16421077707933085,-0.2759210631079599,B
94,95,43,69,188,Male,Moderate,2.0,0.0,0.0,0.0,ENFP,0.11418529432142824,-0.22988411757923205,-0.6744897501960817,-0.06968492031845568,-0.6744897501960817,0.6744897501960817,-1.3597373839386062,1.1243382315686385,A
95,96,28,67,180,Female,Low,0.0,0.0,0.0,0.0,ESFJ,0.0,-0.11418529432142838,0.28221614706250825,-0.28221614706250814,-0.43072729929545756,0.43072729929545744,0.27592106310796005,-0.39119625818947174,B
96,97,43,69,188,Male,Moderate,4.0,0.0,0.0,0.0,ENFP,0.11418529432142824,-0.22988411757923205,-0.6744897501960817,-0.06968492031845568,-0.6744897501960817,0.6744897501960817,-1.3597373839386062,1.1243382315686385,A
